# 4aecb678-807d-4621-b23c-c4c136113f5e
# 6e606bd4c2c9338f6d3dcddbf5b310adfc803c43
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; wr_m; wl_m
11.433; 2.068; -0.192; 0.193; 0.181; 1.985; 0.208; 0.369; 1.085
11.483; 2.116; -0.183; 0.202; 0.182; 1.990; 0.198; 0.380; 1.071
11.533; 2.165; -0.172; 0.212; 0.184; 1.995; 0.110; 0.392; 1.056
11.583; 2.214; -0.162; 0.221; 0.186; 1.998; -0.336; 0.403; 1.041
11.633; 2.263; -0.150; 0.230; 0.188; 1.989; -0.334; 0.416; 1.025
11.683; 2.311; -0.139; 0.240; 0.190; 1.981; -0.332; 0.428; 1.009
11.733; 2.360; -0.127; 0.249; 0.192; 1.972; -0.329; 0.441; 0.993
11.783; 2.408; -0.114; 0.259; 0.194; 1.964; -0.326; 0.456; 0.976
11.833; 2.456; -0.101; 0.268; 0.196; 1.956; -0.324; 0.469; 0.959
11.883; 2.504; -0.088; 0.278; 0.198; 1.948; -0.321; 0.484; 0.942
11.933; 2.552; -0.074; 0.288; 0.201; 1.939; -0.318; 0.499; 0.924
11.983; 2.600; -0.059; 0.298; 0.203; 1.931; -0.315; 0.513; 0.906
12.032; 2.648; -0.044; 0.309; 0.205; 1.923; -0.311; 0.530; 0.888
12.082; 2.695; -0.029; 0.319; 0.208; 1.915; -0.305; 0.545; 0.869
12.132; 2.743; -0.013; 0.329; 0.211; 1.907; -0.299; 0.562; 0.850
12.182; 2.790; 0.003; 0.340; 0.215; 1.899; -0.292; 0.579; 0.831
12.232; 2.837; 0.020; 0.351; 0.218; 1.891; -0.286; 0.596; 0.812
12.282; 2.884; 0.038; 0.362; 0.221; 1.884; -0.279; 0.614; 0.792
12.332; 2.930; 0.056; 0.373; 0.225; 1.876; -0.273; 0.632; 0.772
12.382; 2.977; 0.074; 0.384; 0.228; 1.869; -0.266; 0.650; 0.751
12.432; 3.023; 0.093; 0.396; 0.232; 1.862; -0.259; 0.669; 0.730
12.482; 3.069; 0.112; 0.407; 0.235; 1.855; -0.253; 0.687; 0.709
12.532; 3.115; 0.133; 0.419; 0.239; 1.848; -0.246; 0.707; 0.688
12.582; 3.160; 0.153; 0.431; 0.242; 1.842; -0.241; 0.727; 0.667
12.632; 3.205; 0.174; 0.443; 0.245; 1.835; -0.241; 0.747; 0.645
12.681; 3.250; 0.196; 0.456; 0.247; 1.828; -0.243; 0.768; 0.624
12.731; 3.295; 0.218; 0.468; 0.248; 1.822; -0.245; 0.789; 0.602
12.781; 3.339; 0.241; 0.480; 0.249; 1.815; -0.246; 0.810; 0.580
12.831; 3.384; 0.264; 0.493; 0.250; 1.808; -0.248; 0.832; 0.558
12.881; 3.427; 0.288; 0.505; 0.251; 1.801; -0.249; 0.854; 0.536
12.931; 3.471; 0.313; 0.518; 0.253; 1.795; -0.251; 0.878; 0.514
12.981; 3.514; 0.338; 0.531; 0.254; 1.788; -0.252; 0.900; 0.492
13.031; 3.557; 0.363; 0.543; 0.256; 1.780; -0.253; 0.924; 0.470
13.081; 3.600; 0.389; 0.556; 0.257; 1.773; -0.254; 0.948; 0.448
13.131; 3.642; 0.416; 0.569; 0.259; 1.766; -0.252; 0.972; 0.427
13.181; 3.684; 0.443; 0.582; 0.262; 1.759; -0.239; 0.998; 0.406
13.231; 3.725; 0.471; 0.595; 0.268; 1.752; -0.226; 1.023; 0.385
13.281; 3.767; 0.499; 0.609; 0.274; 1.746; -0.212; 1.048; 0.366
13.331; 3.807; 0.528; 0.623; 0.280; 1.740; -0.197; 1.075; 0.348
13.380; 3.848; 0.558; 0.637; 0.287; 1.734; -0.182; 1.101; 0.329
13.430; 3.888; 0.588; 0.651; 0.294; 1.729; -0.166; 1.128; 0.313
13.480; 3.927; 0.618; 0.666; 0.301; 1.724; -0.150; 1.154; 0.298
13.530; 3.966; 0.649; 0.681; 0.308; 1.720; -0.132; 1.181; 0.283
13.580; 4.005; 0.681; 0.697; 0.315; 1.716; -0.114; 1.209; 0.271
13.630; 4.043; 0.713; 0.713; 0.322; 1.713; -0.095; 1.237; 0.262
13.680; 4.080; 0.746; 0.729; 0.330; 1.710; -0.093; 1.265; 0.252
13.730; 4.117; 0.780; 0.745; 0.331; 1.707; -0.093; 1.294; 0.246
13.780; 4.153; 0.814; 0.762; 0.326; 1.704; -0.110; 1.323; 0.244
13.830; 4.189; 0.849; 0.778; 0.321; 1.701; -0.129; 1.351; 0.241
13.880; 4.225; 0.884; 0.794; 0.316; 1.697; -0.147; 1.380; 0.240
13.930; 4.259; 0.920; 0.810; 0.311; 1.693; -0.167; 1.408; 0.243
13.980; 4.294; 0.956; 0.825; 0.305; 1.688; -0.187; 1.392; 0.247
14.030; 4.327; 0.993; 0.840; 0.300; 1.682; -0.207; 1.369; 0.251
14.079; 4.360; 1.031; 0.855; 0.295; 1.676; -0.227; 1.344; 0.258
14.129; 4.393; 1.069; 0.870; 0.290; 1.670; -0.248; 1.320; 0.268
14.179; 4.424; 1.107; 0.884; 0.284; 1.662; -0.269; 1.295; 0.277
14.229; 4.456; 1.146; 0.898; 0.279; 1.654; -0.291; 1.270; 0.288
14.279; 4.487; 1.185; 0.912; 0.280; 1.645; -0.294; 1.244; 0.301
14.329; 4.517; 1.224; 0.926; 0.284; 1.636; -0.293; 1.219; 0.316
14.379; 4.547; 1.265; 0.940; 0.287; 1.627; -0.293; 1.195; 0.330
14.429; 4.576; 1.305; 0.955; 0.290; 1.618; -0.293; 1.170; 0.347
14.479; 4.604; 1.346; 0.969; 0.293; 1.609; -0.293; 1.146; 0.365
14.529; 4.632; 1.387; 0.984; 0.296; 1.600; -0.294; 1.123; 0.383
14.579; 4.659; 1.429; 0.999; 0.299; 1.591; -0.295; 1.099; 0.403
14.629; 4.686; 1.471; 1.014; 0.301; 1.582; -0.296; 1.076; 0.423
14.679; 4.712; 1.514; 1.029; 0.304; 1.572; -0.299; 1.054; 0.444
14.728; 4.738; 1.557; 1.044; 0.306; 1.563; -0.301; 1.031; 0.465
14.778; 4.763; 1.600; 1.059; 0.308; 1.553; -0.304; 1.010; 0.487
14.828; 4.787; 1.644; 1.075; 0.312; 1.543; -0.303; 0.989; 0.509
14.878; 4.810; 1.688; 1.090; 0.317; 1.533; -0.302; 0.968; 0.531
14.928; 4.833; 1.732; 1.106; 0.321; 1.524; -0.301; 0.949; 0.554
14.978; 4.855; 1.777; 1.122; 0.325; 1.514; -0.299; 0.929; 0.576
15.028; 4.876; 1.822; 1.139; 0.330; 1.504; -0.298; 0.910; 0.598
15.078; 4.896; 1.867; 1.155; 0.334; 1.494; -0.297; 0.892; 0.620
15.128; 4.916; 1.913; 1.172; 0.339; 1.484; -0.297; 0.874; 0.642
15.178; 4.935; 1.960; 1.189; 0.344; 1.474; -0.296; 0.857; 0.663
15.228; 4.953; 2.006; 1.207; 0.349; 1.464; -0.296; 0.841; 0.684
15.278; 4.971; 2.053; 1.224; 0.353; 1.454; -0.294; 0.825; 0.704
15.328; 4.987; 2.100; 1.242; 0.359; 1.444; -0.288; 0.811; 0.724
